YYYYQQ	AK	AL	AR	AZ	CA	CO	CT	DC	DE	FL	GA	GU	HI	IA	ID	IL	IN	KS	KY	LA	MA	MD	ME	MI	MN	MO	MS	MT	NC	ND	NE	NH	NJ	NM	NV	NY	OH	OK	OR	PA	PR	RI	SC	SD	TN	TX	UT	VA	VI	VT	WA	WI	WV	WY	ZZ
200603	275.27	289.36	250.78	423.19	645.31	356.35	467.07	612.41	489.12	478.68	316.91	373.04	533	241.45	325.58	367.06	249.99	233.96	283.7	235.23	709.73	524.71	499.36	309.82	365.17	292.96	247.05	352.93	317.76	231.19	250.51	460.58	573.34	313.53	410.89	630.13	265.16	191.87	438.31	385.4	373.04	600.49	324.6	278.29	288.41	212.44	343.17	460.07	373.04	448.24	473.29	321.96	214.33	255.05	373.04
200604	277.01	294.84	253.1	426.51	641.35	359.52	469.65	622.41	497.87	482.01	322.69	376.83	531.18	243.4	333.73	371.12	252.49	236.08	286.84	239.07	711.67	531.57	506.59	311.28	369.14	296.38	251.53	359.06	323.58	231.54	250.8	463.48	576.37	320.55	409.56	638.41	266.31	194.74	446.72	389.94	376.83	600.24	332.8	279.07	293.81	215.3	356.53	466.4	376.83	455.3	483.29	325.92	217.51	262.11	376.83
200701	280.81	296.81	255.28	424.61	632.38	360.45	473.05	627.03	498.19	478.83	325.48	378.21	538.1	244.28	338.5	373.35	253.35	237.59	289.28	241.58	706.12	532.97	510.28	308.92	371.13	297.82	255.35	365.5	328.56	236.41	251.77	461.8	576.89	325.66	407.15	641.39	266.42	197.11	451.75	393.5	378.21	599.78	335.04	281.95	296.59	218.13	367.09	468.32	378.21	458.08	492.12	327.2	218.02	267.45	378.21
200702	283.75	301.01	256.92	420.92	621.55	361.15	469.03	627	502.22	472.66	326.46	377.95	539	246.31	338.99	372.1	254.17	240.15	290.13	244.03	695.7	533.98	506.76	303.32	367.01	298.22	255.25	370.57	331.74	239.29	253.61	458.88	573.32	328.14	397.7	639.46	264.87	197.9	456.85	395.12	377.95	588.72	337.21	284.81	300.17	221.8	376.2	469.4	377.95	457.71	497.46	326.68	218.24	274.93	377.95
200703	282.43	301.58	256.37	411.39	598.55	358.72	465.45	628.33	497.23	455.63	324.35	373.73	536.47	246.25	339.49	369.08	253.06	239.43	289.65	245.13	682.25	526.2	503.96	293.66	359.18	296.63	255.46	374.23	333.04	241.11	252.42	451.37	566.51	329.08	384.84	630.13	261.99	200.61	454.64	393.27	373.73	577.59	337.03	286.57	300.53	222.46	380.68	463.69	373.73	458.95	498.76	324.98	219.01	278.45	373.73
200704	281.91	303.98	257.76	404.33	574.33	359.64	464.71	620.54	497.6	444.18	326.63	372.55	534.27	247.69	339.63	370.3	253.49	239.48	292.7	246.02	682.5	523.18	510.27	292.71	358.19	297.87	258.88	376.47	335.72	241.79	252.08	451	563.94	330.15	374.62	632.33	261.93	202.43	456.21	395.02	372.55	575.12	341.39	289.11	302.54	224.17	383.64	462.35	372.55	457.04	501.58	326.68	220.03	279.65	372.55
200801	281.72	305.94	257.53	390.72	542.26	361.27	464.2	607.86	494.26	426.42	327.1	369.86	528.31	248.99	340.95	368.79	255.51	241.36	294.03	246.71	679.05	515.27	512.6	291.84	359.68	298.27	258.98	380.13	338.43	246.07	254.06	451.26	560.28	331.53	353.28	635.73	263.2	203.52	453.61	397.82	369.86	568.7	343.74	292.2	303.88	225.56	382.53	459.9	369.86	463.33	500.13	327.55	220.99	280.83	369.86
200802	282.05	304.7	256.62	368.02	497.78	359.33	453.27	591.95	487.49	397.26	321.95	360.55	517.99	247.69	333.09	361.33	253.48	239.76	293.91	246.29	657.68	497.45	503.91	280.01	348.62	294.24	256.98	378.24	337.83	246.76	252.07	439.56	544.41	327.1	325.61	623.88	259.17	204.52	445.34	392.85	360.55	546.35	341.92	292.7	302.63	226.08	376.32	447.04	360.55	457.22	490.34	322.7	220.52	282.39	360.55
200803	278.95	302.42	253.52	341.32	460.26	351.99	439.1	578.47	476.12	364.92	313.36	349.21	503.42	245.65	323.22	349.34	249.53	236.87	289.43	243.26	641.42	477.36	492.9	268.68	338.29	289.38	252.27	372.13	333.67	246.75	249.67	424.24	528.73	319.35	292.65	607.74	252.76	202.96	430.9	386.15	349.21	521.81	335.62	292.24	298.11	225.35	364.69	434.76	349.21	454.48	475.57	317.01	217.05	279.89	349.21
200804	281.44	304.06	254.91	328.79	444.4	352.98	435.65	571.31	470.76	346.56	312.08	346	493.84	246.82	323.5	348.21	249.22	237.28	291.11	243.94	642.31	469.97	488.79	265.98	337.18	290.08	254.71	375.46	333.5	248.95	251.1	422.86	523.24	318.49	277.46	601.89	253.3	203.05	424.57	385.52	346	515.61	336.64	294.32	299.32	225.77	363.97	431.2	346	453.43	470.52	317.65	215.06	279.73	346
200901	281.86	306.21	257.2	327.77	440.21	359.42	439.2	573.01	473.48	352.45	318.71	348.55	490.59	249.14	324.48	346.76	252.98	240.16	293.78	247.2	642.38	465.52	493.61	271.4	343.04	292.4	255.65	377.22	337.36	250.54	253.01	424.08	521.74	321.22	275.98	609.15	257.86	206.37	422.02	389.36	348.55	518.71	340.87	296.99	301.93	228.47	361.03	432.97	348.55	454.15	466.92	319.17	218.18	279.98	348.55
200902	279.04	302.78	253.87	304.03	420.11	353.68	424.92	556.4	459.05	334.03	309	339.34	469.98	247.58	313.25	336.85	248.98	238.47	290.83	245.4	626.63	447.24	482.64	260.78	333.09	287.71	252.96	372.24	331.56	250.27	251.84	411.96	504.98	312.45	255.82	595.85	251.99	204.56	405.7	383.57	339.34	495.3	336.46	295.57	298.75	226.86	347.24	422.01	339.34	447.74	446.89	314.32	216.31	279.47	339.34
200903	278	295.54	249.78	288.11	410.83	345.32	413.94	551.21	447.7	314.61	296.16	330.37	456.72	246.14	299.42	326.05	244.6	236.66	287.43	241.99	615.88	436.03	471.69	249.05	319.56	280.98	248.26	363.28	323.76	249.85	249.25	398.49	491.84	306.11	238.02	581.44	246.92	203.14	391.37	376.04	330.37	482.77	326.19	292.23	292.03	224.64	332.02	412.37	330.37	444.99	431.77	307.27	211.31	272.53	330.37
200904	279.44	294.59	248.69	279.67	412.2	344.55	412.7	558.19	443.88	306.85	291.92	327.9	450.14	245.52	294.34	322.97	244.55	236.26	287.46	242.18	616.92	428.47	466.16	244.69	315.25	279.71	246.91	360.1	319.91	252.11	249.13	396.27	488.21	303.21	231.47	576.43	246.52	203.96	384.34	374.7	327.9	483.16	322.81	291.3	288.9	224.05	328.38	409.35	327.9	441.21	426.17	306.44	210.68	270.39	327.9
201001	275.13	290.42	245.36	271.97	409.33	340.79	407.74	552.07	440.6	300.81	286.3	323.98	449.43	243.69	284.98	317.71	241.1	234.26	285.27	240.18	613.41	425.06	463.35	239.95	310.45	277.52	243.99	353.66	314.58	252.04	246.73	392.54	485.35	302.97	222.56	572.56	243.8	202.45	377.73	372.36	323.98	475.13	318.42	289.37	286.26	222.56	323.26	403.78	323.98	440.76	418.58	302.42	210.69	266.99	323.98
201002	277.43	286.22	246.03	262.48	408.15	337.01	403.16	554.48	437.22	292.36	280.2	321.09	446.72	244.46	280.26	314.07	241.38	234.04	284.24	238.83	611.47	420.06	457.94	236.22	307.61	275.61	240.74	350.07	312.09	251.71	248.6	389.84	481.91	297.88	214.62	569.26	241.89	202.1	372.04	370.45	321.09	468.58	313.82	288.93	285.07	222.71	318.45	401.24	321.09	439.99	413.98	300.86	210.75	267.51	321.09
201003	278.98	289.97	247.01	262.04	410.19	341.39	407.87	562.89	436.6	296.03	282.94	324.13	448.75	246.68	279.29	317.31	244.46	236.41	288.27	242.01	615.07	425.28	463.38	240.14	314.53	278.55	243.54	354.71	314.02	254.07	250.78	394.15	485	299.47	215.46	577.11	245.13	204.14	372.23	374.77	324.13	475.47	317.9	293.29	288.84	224.01	321.37	405.35	324.13	440.9	413.79	303.98	211.88	267.52	324.13
201004	279.79	287.66	245.43	254.96	405.57	339.82	408.4	562.21	433.18	290.42	279	321.77	449.63	246.66	272.35	315.19	243.93	236.4	287.81	241.22	614.79	421.25	464.12	239.6	310.41	276.78	241.85	353.52	312.39	256.8	249.48	392.06	484.05	296.69	210.08	576.82	244.1	203.48	366.44	373.75	321.77	474.23	315.12	293.65	286.78	223.07	319.61	403.03	321.77	442.57	406.51	302	212.93	268	321.77
201101	279.77	279.95	241.68	241.36	391.36	331.49	397.91	554.81	422.09	276.72	268.75	312.93	440.25	244.4	257.69	304.45	238.69	232.82	283.65	237.71	605.86	408.65	456.12	229.94	297.64	269.92	236.79	342.82	305.41	258.32	247.25	382.89	472.62	288.65	198.16	568.25	236.66	199.28	351.31	367.96	312.93	462.83	306.97	291.68	280.09	219.86	305.18	393.66	312.93	439.55	392.74	295.33	209.25	264	312.93
201102	279.07	276.02	240.18	229.8	385.01	326.25	390.68	562.05	409.88	268.31	257.23	307.47	440.99	242.82	248.45	298.38	236.62	229.02	280.84	236.65	599.05	400.56	448.77	226.06	290.98	265.73	236.44	341.51	299.2	262.32	246.4	376.24	463.05	283.18	184.97	560.04	233.13	199.19	341.28	363.16	307.47	447.25	299.89	289.47	276.38	218.76	299.12	389.15	307.47	433.95	382.92	290.59	205.31	261.81	307.47
201103	279.8	278.48	242.18	231.54	386.38	329.43	391.92	563.82	405.71	271.15	258.94	309.78	443.44	245.21	252.84	300.49	239.43	231.94	283.13	236.95	602.26	406.51	452.84	230.6	294.68	269.38	239.27	342.93	300.87	264.39	248.91	378.62	461.71	284.63	184.49	557.76	236.17	198.88	344.22	363.46	309.78	448.35	302.05	292.33	279.83	220.55	304.2	392.3	309.78	435.97	384.14	293.23	209.02	265.25	309.78
201104	282.04	280.6	243.65	236.36	385.07	331.83	395	570.26	411.02	273.5	258.63	311.14	443.15	246.25	257.43	300.4	240.66	233.71	284.18	239.97	602.93	408.21	455.49	232.4	297.53	270.77	240.29	344.86	301.84	266.76	250.45	380.23	461.94	285.63	184.11	562.36	236.82	201.89	347.33	365.01	311.14	451.29	305.35	293.8	280.36	220.69	305.38	394.92	311.14	440.75	384.45	294.3	209.91	264.79	311.14
201201	279.78	277.83	242.87	235.05	380.65	330.07	388.38	573.74	408.12	268.04	252.08	307.86	444.57	246.24	255.36	296.69	238.34	232.03	283.92	238.84	599.19	402.24	450.41	227.89	291.9	268.32	237.99	345.62	297.88	268.99	250.13	374.82	455.57	281	182.07	557.78	233.98	201.74	341.24	361.87	307.86	444.76	300.4	294.08	277.9	220.66	304.52	390.7	307.86	439.28	378.27	291.55	207.81	265.16	307.86
201202	279.58	276.17	240.42	238.31	381.4	331.31	384.67	576.73	399.54	266.07	247.78	306.59	441.74	246.13	252.82	293.02	237.99	230.8	282.91	239.36	597.62	398.71	445.65	226.87	290.23	265.89	236.72	345.64	294.39	276.76	250.59	371.92	449.58	278.8	181.46	552.64	232.88	201.65	338.29	360.16	306.59	436.51	298.76	295.31	277.05	222.17	303.11	388.09	306.59	437.36	375.43	289.33	208.95	266.45	306.59
201203	281.83	277.96	244.03	247.73	389.6	336.64	385.58	586.13	402.64	272.44	250.93	310.56	448.98	247.94	258.23	296.16	240.11	233.25	284.97	243.18	601.35	403.6	447.07	231.33	294.73	268.8	239.19	348.89	297.46	281.05	251.59	373.74	451.92	280.73	185.93	554.41	235.1	203.17	345.46	362.15	310.56	438.23	301.37	296.53	279.81	224.13	309.23	392.98	310.56	438.68	382.27	291.87	209.87	268.07	310.56
201204	284.53	278.47	245.63	255.51	397.62	339.59	386.97	596.77	405.28	276.35	254.06	313.07	453.32	249.01	262.52	296.3	240.85	233.31	286.3	243.05	604.24	405.1	448.78	234.49	298.02	269.29	237.52	353.73	298.78	288.59	252.84	375.13	452.82	281.51	191.15	556.39	234.55	204.36	351.12	363.32	313.07	440.75	301.57	300.73	280.74	225.93	314.51	394.63	313.07	439.38	386.87	291.99	210.28	270.5	313.07
201301	287.68	275.63	246.47	261.97	406.59	344.18	384.85	607.84	405.62	280.09	254.24	314.7	457.41	249.48	265.09	294.5	240.82	234.47	286.34	242.65	606.22	405.33	450.73	237.23	299.38	268.17	237.72	356.76	298.13	293.85	254.37	374.13	452.99	282.83	196.92	557.06	233.62	204.53	353.78	363.54	314.7	438.34	301.29	303.79	280.75	227.42	317.49	394.18	314.7	441.53	389.79	291.03	210.07	271.62	314.7
201302	288.8	276.29	246.91	274	425.73	351.72	383.59	626.25	405.09	289.31	260.33	319.63	465.27	251.19	267.85	296.39	241.31	233.2	287.16	244.32	611.64	409.3	453.17	242.23	305.09	269.02	237.18	359.55	299.83	300.47	256.95	375.02	453.7	282.73	209.44	558.69	234.4	206.11	363.64	364.95	319.63	439.48	302.48	305.28	283.42	231.52	326.67	398.38	319.63	436.69	397.11	291.06	211.14	274.45	319.63
201303	291.73	275.65	247.09	283.44	449.63	361.46	383.29	652.97	407.93	296.87	263.66	324.62	476.74	252.21	276.02	297.34	242.15	235.81	286.59	246.06	619.7	410.91	450	248.33	311.43	269.51	237.64	364.2	300.79	310.8	258.96	379.39	454.44	282.28	223.13	561.32	235.41	207.44	374.76	366.6	324.62	440.44	302.82	309.52	284.06	235.62	334.75	398.97	324.62	438.23	405.62	291.41	213.22	274.47	324.62
201304	292.65	274.38	246.76	291.14	464.68	364.92	380.19	655.51	409.9	304.59	267.13	327.37	488.39	252.49	277.25	298.75	242.46	235.04	285.31	245.51	623.53	411.64	448.27	250.41	312.06	269.01	236.4	364.79	300.02	315.99	260.81	379.56	456.16	283.89	232.81	561.55	235.32	206.51	379.27	366.24	327.37	437.06	302.42	310.86	286.35	238.27	339	399.19	327.37	437.89	409.81	290.52	214.58	275.7	327.37
201401	290.03	276.5	248.42	296.85	474.76	370.21	379.66	671.55	409.45	309.45	271.46	330.29	493.96	252.36	280.87	299.69	242	236.17	285.71	246.38	627.52	413.41	449.59	252.96	314.01	269.63	238.24	368.88	302.11	318.92	260.9	383.29	459.11	282.91	238.57	561.87	235.76	208.85	385.29	366.45	330.29	439.8	303.21	310.76	288.01	242.46	341.33	400.99	330.29	433.65	414.43	289.71	214.62	278.8	330.29
201402	296.35	277.6	248.01	301.85	487.19	383.07	381.91	686.7	412.86	317.48	277.53	336.58	500.07	255.62	285.79	304.89	246.12	238.97	290.3	248.56	641.44	419.84	455.27	260.49	321.73	273.99	238.9	371.21	306.2	323.47	266.23	385.89	463.93	284.14	246.38	567.64	240.92	210.72	397.72	371.2	336.58	446.7	308.99	315.69	293.46	248.69	347.84	407.68	336.58	440.05	425.62	294.37	215.83	280.8	336.58
201403	299.26	280.41	250.36	304.86	497.55	391.5	385.26	694.82	417.51	324.52	283.19	341.45	511.16	258.47	289.73	309.19	248.31	242.98	291.83	252.86	648.93	423.02	462.67	266.24	325.02	276.79	240.73	379.26	309.18	331.11	268.99	392.36	467.94	287.06	255.05	575.66	243.5	213.96	404.16	373.61	341.45	455.18	312.6	318.44	296.21	253.03	351.49	410.08	341.45	442.04	434.42	297.27	217.65	283.99	341.45
201404	299.7	282.34	253.03	309.85	503.05	397.7	385.29	710.4	416.76	330.27	284.89	344.28	518.55	259.35	291.81	310.49	249.73	242.83	293.56	253.15	653.48	426.1	460.33	268.34	326.06	278.65	243.71	382.73	310.46	336.36	270.37	393.82	470.18	287.96	258.78	580.5	244.78	215.16	408.77	374.56	344.28	457.72	314.67	321.47	300.24	256.04	355.31	413.99	344.28	441.12	438.78	298.77	218.79	286.36	344.28
201501	301.49	285.08	253.38	311.65	507.33	404.37	389.4	713.53	424.31	337.45	288.6	347.71	528.62	260.32	296.68	313.25	252.37	244.72	296.33	257.04	657.73	427.69	465.67	269.15	326.48	280.88	246.16	384.06	315.19	339.48	272.1	396.97	473.51	288.92	264.06	585.18	246.17	216.57	414.44	378.38	347.71	460.65	320.54	324.41	302.64	259.93	358.39	415.44	347.71	443.65	443.64	300.29	217.83	289.93	347.71
201502	304.65	286.38	254.58	318.93	519.73	421.96	390.59	725.42	422.91	346.49	296.09	353.85	532.94	264.05	301.68	316.29	256.02	247.7	300.39	259.34	666.22	431.51	469.87	275.19	333.63	283.25	246.68	390.5	319.16	343.13	277.73	403.34	477.59	290.59	272.98	590.02	250.4	220.06	429.26	381.52	353.85	470.43	324.73	329.19	306.64	266.72	364.93	419.11	353.85	448.57	457.65	303.95	224.77	289.68	353.85
201503	308.37	288.62	257.92	326.49	534.12	438.26	388.96	745.78	425.29	354.98	300.55	359.33	542.76	266.55	308.92	318.15	256.89	250.49	301.96	262.61	678.7	432.42	472.38	280.5	339.19	286.73	249.45	396.11	322.56	350.31	282.57	408.53	479.47	294.32	281.69	595.91	253.22	222.53	443.62	382.72	359.33	471.86	327.79	332.53	312.39	272.51	372.08	421	359.33	450.93	470.93	306.8	223.57	296.84	359.33
201504	310.66	290.57	259.64	331.29	541.63	444.73	389.09	762.46	428.72	362.27	303.15	362.63	548.31	268.86	314.37	319.72	258.98	252.03	304.88	262.64	683.58	433.9	477.57	282.14	340.55	289.85	250.74	398.6	325.79	352.56	283.42	409.15	481.28	293.3	288.48	597.67	254.11	224.33	451.35	383.89	362.63	477.72	332.05	336.33	315.15	275.38	377.63	424.14	362.63	446.95	479.83	308.75	224.42	295.72	362.63
201601	310.95	291.62	259.07	334.5	548.45	453.04	388.94	770.62	429.8	369.73	306.06	366	564.92	269.9	317.03	321.05	259.35	253.18	306.49	266	690.57	437.43	479.94	284.48	342.07	292.29	251.69	402.83	329.98	351	283.55	412.73	484.28	295.04	291.18	601.12	255.53	224.54	461.44	385.83	366	477.5	335.72	339.89	319.77	279.41	382.84	422.5	366	446.66	488.87	311.35	224.57	296.12	366
201602	314.08	295.23	262.46	342.14	558.14	469.24	391.79	788.62	433.38	379.28	315.01	373.22	567.07	272.73	324.01	325.67	264.17	259.68	312.19	270.5	700.62	442.79	485.53	290.47	350.69	296.38	253.66	405.52	335.26	354.76	289.65	418.74	489.77	299.49	298.99	611.36	260.1	226.75	478.09	392.56	373.22	488.47	341.93	342.8	326.79	286.97	392.11	431.38	373.22	456.19	506.49	316.23	226.2	299.39	373.22
201603	315.31	300.54	266.5	347.57	569.41	481.55	395.03	789.93	440.02	389.66	320.81	379.91	577.33	277.33	335.26	329.81	268.36	262.95	316.13	272.18	712.08	448.27	496.11	296.44	355.96	301.19	255.45	413.8	342.4	359.33	294.61	426.1	494.14	302.35	308.42	620.41	265.64	229.33	492.78	396.81	379.91	496.26	349.03	349.25	332.04	293.17	400.77	434.74	379.91	458.93	522.38	320.13	228.45	302.08	379.91
201604	313.66	299.87	268.59	353.45	578.06	489.46	396.32	806.86	443.3	396.72	323.31	383.42	584.72	278.62	337.12	331.74	270.09	265.24	318.32	274.48	719.99	450.94	501.07	298.98	358.4	303.03	260.41	416.33	343.88	358.78	296.02	428.81	497.69	306.44	311.26	626.89	265.25	229.68	501.34	398.03	383.42	505.83	350.65	352.88	336.99	296.64	405.85	437.71	383.42	456.18	530.19	322.31	229.73	301.62	383.42
201701	315.48	301.25	270.61	360.45	589.36	499.55	391.3	817.87	442.68	405.55	325.83	387.14	590.73	280.86	341.48	332.22	270.35	263.49	320.91	272.37	726.57	450.65	505.45	304.09	362.37	304.45	259.45	421.63	346.54	361.67	300.21	431.2	494.77	306.58	317.87	629.64	266.5	232.2	508.74	399.85	387.14	511.36	354.81	357.4	340.66	300.77	414.78	436.53	387.14	459.79	541.93	325.57	227.46	301.81	387.14
201702	316.63	306.2	273.27	371.25	603.02	518.83	397.81	836.22	441.72	416.55	337.38	397.23	599.26	285.3	359.23	337.16	276.72	272.78	328.53	277.81	747.98	459.77	511.81	312.9	375.49	311.49	260.7	425.94	358.68	362.7	309.56	442.07	503.71	309.74	328.45	640.55	275.84	236.07	526.7	407.73	397.23	523.06	363.04	364.9	350.21	311.31	429.78	448.64	397.23	464.72	564.29	334.74	229.84	303.65	397.23
201703	320.8	309.37	276.95	380.17	614.81	526.88	401.2	852.96	444.73	424.28	342.66	403.93	609.61	290.09	365.46	341.58	281.85	276.37	334.01	282.24	760.2	464.24	523.04	319.85	380.78	316.46	263.74	437.43	363.11	366.02	313.96	449.65	510.46	316.47	339.41	654	280.15	237.07	537.71	413.51	403.93	533.91	369.43	371.12	358.35	316.86	441.39	450.76	403.93	466.03	582.82	339.23	230.97	304.78	403.93
201704	324.24	312.06	279.55	384.55	625.9	535.21	401.57	862.42	451.49	433.67	346.77	408.13	617.09	291.77	372.62	342.97	284.98	277.12	335.36	283.2	765.7	468.74	529.79	321.67	382.07	319.21	264.02	439.89	365.45	365.29	316.4	454.6	514.72	318.16	349.08	661.3	280.86	239.58	540.31	416.3	408.13	540.9	374.1	373.25	364.16	320.25	447.21	453.44	408.13	475.43	592.47	339.75	235.56	309.72	408.13
201801	321.35	313.38	280.73	393.96	638.86	550.64	399.86	878.24	461.66	442.3	355.2	413.91	626.41	292.43	382.53	345.73	287.59	282.33	339.59	284.55	776.63	472.97	532.76	325.35	387.33	324.03	268.8	445.35	371.33	365.03	320.92	461.66	519.31	316.72	360.83	669.26	283.84	238.75	549.03	420.05	413.91	552.84	381.61	377.02	368.22	324.94	457.26	457.95	413.91	477.98	607.08	344.62	234.96	316.25	413.91
201802	324.82	320.66	283.78	404.86	656.5	569.04	403.8	897.67	463.17	454.57	365.72	424.36	631.26	300.04	401.51	350.41	298.43	287.81	348.56	285.86	793.79	479.79	545.27	336.22	399.89	330.51	267.2	454.89	384	371.83	327.54	471.9	526.09	325.27	377.15	680.94	291.69	244.3	567.86	428.95	424.36	566.16	387.93	380.44	379.05	333.61	475.31	466.87	424.36	485.44	635.05	356.36	238.4	316.8	424.36
201803	324.35	325.88	287.96	413.76	667.38	578.51	408.95	911.63	466.06	463.19	373.03	430.75	643.42	303.6	413.13	351.92	302.65	290.58	351.2	288.05	809.05	483.02	551.66	343.55	406.57	335.31	272.55	462.49	390.05	369.56	334.54	479.95	531.69	324.64	390.36	693.1	297.86	245.9	576.07	433.53	430.75	573.05	393.96	390.54	385.78	338.29	487.45	470.05	430.75	488.53	640.53	361.88	240.32	319.97	430.75
