YYYYQQ	AK	AL	AR	AZ	CA	CO	CT	DC	DE	FL	GA	GU	HI	IA	ID	IL	IN	KS	KY	LA	MA	MD	ME	MI	MN	MO	MS	MT	NC	ND	NE	NH	NJ	NM	NV	NY	OH	OK	OR	PA	PR	RI	SC	SD	TN	TX	UT	VA	VI	VT	WA	WI	WV	WY	ZZ
198301	137.14	115.11	113.29	119.52	117.77	126.85	119.07	94.06	117.41	123.19	117.67	114.24	101.91	97.89	109.94	102.09	105.85	106.18	109.01	116.19	130.85	113.86	115.44	96.8	113.22	105.6	112.36	99.57	112.79	99.2	109.23	108.58	110.16	130.69	119.39	129	102.59	123.68	98.76	108.53	114.24	110.58	123.06	101.13	110.47	127.42	114.97	115.46	114.24	117.77	107.07	103.7	100.9	112.06	114.24
198302	138.87	114.51	117.14	119.57	117.8	125.58	121.35	97.09	119.81	125.27	118.39	115.44	105.9	99.14	105.33	104.9	105.77	109.18	110.08	117.03	136.82	115.32	120.83	97.03	113.44	108.27	112.65	103.83	111.35	106.53	109.34	112.16	113.88	122.54	117.34	132.81	105.27	125.67	100.27	110.14	115.44	112.33	120.73	121.15	110.76	127.28	115.53	118.32	115.44	112.58	106.1	106.16	92.28	106.13	115.44
198303	144.57	117.42	118.54	115.52	117.58	127.07	122.94	101.4	122.97	125.2	121.01	116.39	111.83	99.23	104.4	105.92	105.32	106.72	110.22	115.76	143.86	116.59	126.27	97.18	112.69	111.7	110.57	110.3	113.87	87.33	111.4	115.77	117.71	123.72	120.01	138.32	106.04	126.75	99.21	112.42	116.39	119.13	123.71	100.47	111.86	127.05	111.8	118.65	116.39	118.19	104.38	105.78	97.43	103.76	116.39
198304	144.26	114.53	118.77	113.74	118	121.99	126.41	100.61	128.63	125.41	120.82	117.05	105.78	98.47	106.25	107.14	104.72	107.9	109.63	116.36	148.9	118.13	133.16	95.07	110.43	112.72	115.05	113.58	115.31	109.33	112.04	117.53	120.89	125.88	114.56	147.07	105.54	126.16	98.74	113.28	117.05	121.46	120.1	100.5	113.24	127.28	113.3	118.67	117.05	123.41	105.14	105.85	94.51	100.41	117.05
198401	148.13	124.1	120.77	117.41	119.8	126.59	131.44	101.49	125.77	126.45	124.42	118.82	108.82	98.62	107.29	107.77	104.82	108.28	112.97	116.66	157.25	118.87	133.26	97.52	113.96	113.32	118.26	123.35	117.98	118.25	110.42	122.13	123.99	124.89	119.43	150.79	105.86	122.16	98.5	113.45	118.82	119.48	126.44	113.14	110.69	126.22	112.23	121.44	118.82	121.98	107.29	106.05	100.2	101.75	118.82
198402	146.29	120.55	118.83	122.14	120.43	126.15	134.96	103.62	129.41	127.48	126.58	120.38	113.28	100.59	106.62	110.47	107.35	108.3	111	117.23	165.51	122.69	140.08	97.12	113.63	115.37	115.01	119.82	122.25	113.74	112.91	127.47	130.18	122.12	117.82	156.54	107.08	122.09	97.63	116.48	120.38	121.4	125.54	109.97	116.46	127.35	113.99	123.25	120.38	123.75	107.99	107.93	95.24	96	120.38
198403	152.53	125.29	119.84	122.98	121.9	126.33	140.52	105.55	132.5	128.66	124.85	121.49	110.2	99.21	108.82	111.15	106.19	107.82	113.02	115.81	175.39	124.22	143.2	97.28	115.56	118.99	112.64	114.32	121.73	114.69	112.28	132.96	135.07	126.28	113.31	162.15	107.14	119.91	96.17	118.26	121.49	127.48	122.7	118.31	110.41	129.78	114.79	125.08	121.49	126.21	109.41	107.92	95.57	99.13	121.49
198404	150.52	121.96	121.36	122.11	122.98	124.41	142.29	108.07	134.46	127.11	129.1	122.47	109.11	100.88	111.39	112.71	108.36	108	113.21	114.41	181.54	124.51	141.51	97.48	115.75	118.97	113.95	111.09	124.89	108.9	111.87	137.14	138.35	127.64	116.78	169.31	107.35	119.5	99.72	119.1	122.47	129.26	127.11	107.22	118.93	129.29	112.29	124.66	122.47	126.94	110.36	106.32	88.49	96.47	122.47
198501	143.23	121.97	121.76	125.19	124.71	127.05	148.88	107.48	137.35	128.49	131.61	124.2	114.63	101.4	106.94	113.59	109.13	108.95	114.67	111.52	191.22	126.63	146.95	99.73	117.04	120.29	119.93	115.55	127.66	109.64	111.41	141.51	142.31	126.24	117.27	176.23	108.01	118.62	97.87	120.58	124.2	132.02	130.29	111.18	120.83	127.89	116.77	127.54	124.2	129.45	110.84	107.9	94.24	97.9	124.2
198502	143.36	125.12	120.22	125.43	126.54	126.36	155.92	110.85	141.39	129.01	129.18	126.09	112.86	101.5	112.36	114.98	110.7	109.54	115.78	113.1	205.66	128.45	151.8	100.79	118.33	123.64	121.95	109.46	130.11	110.02	113.04	151.78	148.65	126.48	117.43	184.53	109.21	116.9	97.77	123.8	126.09	138.23	130.54	109.36	121.83	128.89	116.19	129.73	126.09	134.51	111.14	109.68	97.44	95.78	126.09
